total_price,total_freight,total_items,unique_products,unique_sellers,order_month,order_day_of_week,order_hour,average_item_price,freight_ratio,items_per_seller,seller_diversity,is_weekend,is_business_hour,is_year_end,month_sin,month_cos,hour_sin,hour_cos,log_total_price,log_total_freight,items_x_price,is_late_delivery
113.0,28.15,1.0,1.0,1.0,6,1,21,113.0,0.2491150442477876,1.0,1.0,0,0,0,1.2246467991473532e-16,-1.0,-0.7071067811865477,0.7071067811865474,4.736198448394496,3.3724549127965013,113.0,0
79.9,11.76,1.0,1.0,1.0,11,3,22,79.9,0.1471839799749687,1.0,1.0,0,0,1,-0.5000000000000004,0.8660254037844384,-0.5000000000000004,0.8660254037844384,4.393213824064446,2.546315277916644,79.9,0
39.9,13.76,1.0,1.0,1.0,8,6,13,39.9,0.3448621553884712,1.0,1.0,1,1,0,-0.8660254037844385,-0.5000000000000004,-0.2588190451025208,-0.9659258262890683,3.711130063048756,2.6919208191723265,39.9,0
299.0,18.34,1.0,1.0,1.0,11,2,11,299.0,0.06133779264214047,1.0,1.0,0,1,1,-0.5000000000000004,0.8660254037844384,0.258819045102521,-0.9659258262890682,5.703782474656201,2.9621754900251482,299.0,0
27.9,15.1,1.0,1.0,1.0,2,0,20,27.9,0.5412186379928315,1.0,1.0,0,0,0,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,3.3638415951183864,2.7788192719904172,27.9,0
318.0,28.09,2.0,2.0,2.0,4,6,8,159.0,0.08833333333333333,1.0,1.0,1,0,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,5.765191102784844,3.3703944725071104,636.0,0
659.8,164.96,2.0,1.0,1.0,1,6,21,329.9,0.25001515610791153,2.0,0.5,1,0,0,0.49999999999999994,0.8660254037844387,-0.7071067811865477,0.7071067811865474,6.493451222206768,5.111746795464668,1319.6,0
24.89,15.1,1.0,1.0,1.0,2,5,13,24.89,0.6066693451185214,1.0,1.0,1,1,0,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,3.2538567937634464,2.7788192719904172,24.89,0
339.6,53.0,4.0,1.0,1.0,6,0,16,84.9,0.15606595995288575,4.0,0.25,0,1,0,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,5.830708768228588,3.9889840465642745,1358.4,0
42.99,12.03,1.0,1.0,1.0,6,2,13,42.99,0.2798325191905094,1.0,1.0,0,1,0,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683,3.7839623353606284,2.567254391136754,42.99,0
27.9,18.3,1.0,1.0,1.0,7,6,8,27.9,0.6559139784946237,1.0,1.0,1,0,0,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,3.3638415951183864,2.9601050959108397,27.9,0
50.0,9.34,1.0,1.0,1.0,9,2,14,50.0,0.1868,1.0,1.0,0,1,0,-1.0,-1.8369701987210297e-16,-0.4999999999999997,-0.8660254037844388,3.9318256327243257,2.336019869080283,50.0,0
190.0,19.41,1.0,1.0,1.0,4,4,8,190.0,0.1021578947368421,1.0,1.0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,5.25227342804663,3.0160249768217535,190.0,0
42.9,14.1,1.0,1.0,1.0,2,3,10,42.9,0.3286713286713287,1.0,1.0,0,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,3.7819143200811256,2.714694743820879,42.9,0
69.9,14.66,1.0,1.0,1.0,2,0,11,69.9,0.20972818311874106,1.0,1.0,0,1,0,0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,4.2612704335380815,2.751109690562657,69.9,0
190.0,77.8,5.0,1.0,1.0,4,3,17,38.0,0.4094736842105263,5.0,0.2,0,1,0,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063,5.25227342804663,4.366912996863833,950.0,0
113.98,31.68,2.0,1.0,1.0,9,4,9,56.99,0.277943498859449,2.0,0.5,0,1,0,-1.0,-1.8369701987210297e-16,0.7071067811865476,-0.7071067811865475,4.744758200195145,3.486763269991802,227.96,0
24.99,12.84,1.0,1.0,1.0,7,5,16,24.99,0.5138055222088835,1.0,1.0,1,1,0,-0.4999999999999997,-0.8660254037844388,-0.8660254037844385,-0.5000000000000004,3.2577118486533987,2.6275629501895237,24.99,0
219.0,15.28,1.0,1.0,1.0,8,2,18,219.0,0.0697716894977169,1.0,1.0,0,1,0,-0.8660254037844385,-0.5000000000000004,-1.0,-1.8369701987210297e-16,5.393627546352362,2.7899373605743945,219.0,0
186.0,15.82,2.0,1.0,1.0,8,6,22,93.0,0.08505376344086021,2.0,0.5,1,0,0,-0.8660254037844385,-0.5000000000000004,-0.5000000000000004,0.8660254037844384,5.231108616854587,2.822568654544802,372.0,0
19.99,7.78,1.0,1.0,1.0,7,6,3,19.99,0.38919459729864936,1.0,1.0,1,0,0,-0.4999999999999997,-0.8660254037844388,0.7071067811865476,0.7071067811865476,3.0440461338325417,2.1724764076470255,19.99,0
45.0,14.1,1.0,1.0,1.0,12,4,0,45.0,0.31333333333333335,1.0,1.0,0,0,1,-2.4492935982947064e-16,1.0,0.0,1.0,3.828641396489095,2.714694743820879,45.0,0
